studyid,obsid,wlfresh,lnyear,lninc,sagulf,nema,nmw,local,prov,reg,cult,forest,q0,q1,volunt,lumpsum,ce,nrev,median,canada,lnwtp,stwt,obwt
101,1011,1,2.89,5.347770319,0,0,1,1,0,1,1,0,0,2499,0,0,0,0,0,0,5.542766604,1,1
102,1021,0,2.197,5.125841822,0,1,0,0,1,0,1,0,11374,11407,0,1,1,0,0,0,3.564682169,4,0.25
102,1022,0,2.197,5.125841822,0,1,0,0,1,0,1,0,11343,11407,0,1,1,0,0,0,3.762249264,4,0.25
102,1023,0,2.197,5.125841822,0,1,0,0,1,0,1,0,11306,11407,0,1,1,0,0,0,3.927418763,4,0.25
102,1024,0,2.197,5.125841822,0,1,0,0,1,0,1,0,11272,11407,0,1,1,0,0,0,4.101351515,4,0.25
104,1041,1,0.693,4.982520716,0,0,1,0,0,1,1,0,3468,3968,1,0,0,0,1,0,0.906879843,4,0.25
104,1042,1,0.693,4.982520716,0,0,1,0,0,1,1,1,69580,70080,1,0,0,0,1,0,2.224559927,4,0.25
104,1043,1,0.693,4.982520716,0,0,1,0,0,1,1,1,21716,22216,1,0,0,0,1,0,1.94081675,4,0.25
104,1044,1,0.693,4.982520716,0,0,1,0,0,1,1,1,908,1408,1,0,0,0,1,0,3.17573428,4,0.25
106,1061,1,1.792,5.048535448,0,0,1,1,1,1,1,0,10000,13000,0,1,0,1,1,0,4.969109615,1,1
108,1082,0,3.219,5.152334379,1,0,0,0,1,1,0,0,32362,33862,0,1,1,0,0,0,5.466418323,2,0.5
108,1084,0,3.219,5.152334379,1,0,0,0,1,1,0,0,522667,524167,0,1,1,0,0,0,6.671927728,2,0.5
109,1091,0,2.565,5.125841822,0,1,0,0,1,1,1,0,11404,11407,0,0,1,0,0,0,5.729409605,5,0.2
109,1092,0,2.565,5.125841822,0,1,0,0,1,1,1,0,11402,11407,0,0,1,0,0,0,5.78617988,5,0.2
109,1093,0,2.565,5.125841822,0,1,0,0,1,1,1,0,11400,11407,0,0,1,0,0,0,5.834632101,5,0.2
