"","authors","studyid","lnwtp","wtp_original","wtp_2017","lnyear","lninc","local","prov","reg","cult","forest","q0","q1","volunt","lumpsum","ce","nrev","median","us","wlfresh"
"1","tkac_wtp",126,4.66027299439847,79.22,105.664924152037,2.39789527279837,11.0429212330313,1,1,1,0,0,4200,8400,1,1,0,0,0,0,1
"2","trenholm_wtp_30W",127,3.60911278505425,31.56,36.9332705248991,2.83321334405622,11.2874221329081,1,1,0,0,1,0,5884,0,0,0,1,1,0,1
"3","trenholm_wtp_60W",127,3.1214638955392,19.38,22.6795558546433,2.83321334405622,11.2874221329081,1,1,0,0,1,0,11300,0,0,0,1,1,0,1
"4","trenholm_wtp_30mAll",127,3.36402553271051,24.7,28.9053162853297,2.83321334405622,11.2874221329081,1,1,0,0,1,0,7408,0,0,0,1,1,0,1
"5","trenholm_wtp_60mAll",127,2.84506978286127,14.7,17.2027590847914,2.83321334405622,11.2874221329081,1,1,0,0,1,0,14318,0,0,0,1,1,0,1
"6","pattisson_wtp_2008l",128,5.82111041200564,295.1,337.346439266672,2.89037175789616,11.0933363568422,0,0,1,0,0,949184,1044102,0,0,0,1,0,0,1
"7","pattisson_wtp_80",128,5.84306353494352,301.65,344.834135563509,2.89037175789616,11.0933363568422,0,0,1,0,0,949184,1084782,0,0,0,1,0,0,1
"8","pattisson_wtp_83",128,5.86490190036184,308.31,352.447579431744,2.89037175789616,11.0933363568422,0,0,1,0,0,949184,1125461,0,0,0,1,0,0,1
"9","pattisson_wtp_89",128,5.90666924919774,321.46,367.480130012417,2.89037175789616,11.0933363568422,0,0,1,0,0,949184,1206820,0,0,0,1,0,0,1
"10","pattisson_wtp_100",128,5.98536622601067,347.78,397.568094368563,2.89037175789616,11.0933363568422,0,0,1,0,0,949184,1355977,0,0,0,1,0,0,1
"11","lantz_wtp1",129,6.20991396347513,436.63955,497.658432642732,2.94443897916644,11.5305627039775,1,0,1,0,0,11997,17520,0,0,0,1,0,0,1
"12","lantz_wtp2",129,6.19772495122913,431.34965,491.629287223274,2.94443897916644,11.5305627039775,1,0,1,0,0,11997,18520,0,0,0,1,0,0,1
"13","rudd_wtp1",130,2.53549295719893,11.6,12.6226517416394,3.04452243772342,11.4729832456787,0,1,1,1,1,1307159,1413400,0,0,1,1,0,0,1
"14","rudd_wtp2",130,3.23893182379543,23.44,25.5064617951749,3.04452243772342,11.4729832456787,0,1,1,1,1,1307159,1616100,0,0,1,1,0,0,1
"15","he_wtp_ce",131,6.23804973441416,482,511.859275342652,3.13549421592915,10.980868861621,1,0,1,0,0,988422,1976843,0,0,1,1,0,0,1
"16","he_wtp_cv",131,6.20214302595091,465,493.806147374135,3.13549421592915,10.980868861621,1,0,1,0,0,988422,1976843,0,0,0,1,0,0,1
"17","vossler_wtp",132,6.76984735956962,836,871.178906718157,3.17805383034795,10.9105436707695,0,1,1,1,1,41514200,103785500,1,0,0,1,0,0,1
"18","dina_wtp",133,4.1747840218603,62.4,65.0257939942739,2.56494935746154,10.7028215959293,0,0,0,1,1,0,555975,1,0,0,0,0,0,1
"19","johnson_2016",133,4.55115713719727,92.7659574468085,94.7419743739079,3.25809653802148,11.2556856648917,1,1,1,0,0,4000,4700,0,0,1,1,0,1,1
"20","johnson_2015",134,2.20836603947886,8.8,9.1008338344,3.2188758248682,11.2556856648917,1,1,0,0,1,4000,4700,0,0,1,0,0,1,1
"21","klaus",101,5.52728306446749,193.430601584869,251.45978206033,2.8903718,11.7464742644675,1,0,1,1,0,0,2499,0,0,0,0,0,1,1
"22","klaus",102,3.58089316446749,27.6196893325079,35.9055961322603,2.1972246,11.2356792644675,0,1,0,1,0,11374,11407,0,1,1,0,0,1,0
"23","klaus",102,3.77194826446749,33.4343561983572,43.4646630578644,2.1972246,11.2356792644675,0,1,0,1,0,11343,11407,0,1,1,0,0,1,0
"24","klaus",102,3.93255366446749,39.2593408753481,51.0371431379526,2.1972246,11.2356792644675,0,1,0,1,0,11306,11407,0,1,1,0,0,1,0
"25","klaus",102,4.10241166446749,46.5276797995443,60.4859837394076,2.1972246,11.2356792644675,0,1,0,1,0,11272,11407,0,1,1,0,0,1,0
"26","klaus",104,1.31531526446749,2.86609650154708,3.72592545201121,0.69314718,10.9050932644675,0,0,1,1,0,3468,3968,1,0,0,0,1,1,1
"27","klaus",104,2.33797326446749,7.96939834507767,10.360217848601,0.69314718,10.9050932644675,0,0,1,1,1,69580,70080,1,0,0,0,1,1,1
"28","klaus",104,2.09457416446749,6.24767815795594,8.12198160534272,0.69314718,10.9050932644675,0,0,1,1,1,21716,22216,1,0,0,0,1,1,1
"29","klaus",104,3.20901216446749,19.0420158836339,24.754620648724,0.69314718,10.9050932644675,0,0,1,1,1,908,1408,1,0,0,0,1,1,1
"30","klaus",106,4.95762336446749,109.427157545574,142.255304809246,1.7917595,11.0570162644675,1,1,1,1,0,10000,13000,0,1,0,1,1,1,1
"31","klaus",108,5.45134486446749,179.285695907034,233.071404679145,3.2188759,11.2968522644675,0,1,1,0,0,32362,33862,0,1,1,0,0,1,0
"32","klaus",108,6.65293966446749,596.199534222527,775.059394489285,3.2188759,11.2968522644675,0,1,1,0,0,522667,524167,0,1,1,0,0,1,0
"33","klaus",109,5.71304546446749,232.916774786329,302.791807222228,2.5649493,11.2356792644675,0,1,1,1,0,11404,11407,0,0,1,0,0,1,0
"34","klaus",109,5.76957876446749,246.463645537592,320.40273919887,2.5649493,11.2356792644675,0,1,1,1,0,11402,11407,0,0,1,0,0,1,0
"35","klaus",109,5.81783906446749,258.649742268459,336.244664948997,2.5649493,11.2356792644675,0,1,1,1,0,11400,11407,0,0,1,0,0,1,0
"36","klaus",109,5.86888916446749,272.196681843058,353.855686395975,2.5649493,11.2356792644675,0,1,1,1,0,11398,11407,0,0,1,0,0,1,0
"37","klaus",109,5.95007936446749,295.21830511471,383.783796649124,2.5649493,11.2356792644675,0,1,1,1,0,11395,11407,0,0,1,0,0,1,0
"38","klaus",110,6.75131216446749,657.830895121498,855.180163657947,3.0445225,10.9889102644675,0,1,1,1,0,1381022,1829022,0,0,0,0,0,1,0
"39","klaus",113,4.42610916446749,64.3119138846394,83.6054880500313,1.7917595,11.2752972644675,0,0,1,0,1,219890,220000,0,1,0,1,0,1,1
"40","klaus",114,2.45962966446749,9.00036741147333,11.7004776349153,2.4849067,11.5848592644675,1,0,0,1,1,5838,5867,0,1,1,0,0,1,1
"41","klaus",114,2.74473106446749,11.9695604748182,15.5604286172636,2.4849067,11.5848592644675,1,0,0,1,1,5822,5867,0,1,1,0,0,1,1
"42","klaus",114,3.00424226446749,15.5160969818552,20.1709260764117,2.4849067,11.5848592644675,1,0,0,1,1,5807,5867,0,1,1,0,0,1,1
"43","klaus",115,5.81604376446749,258.185804964096,335.641546453324,0.69314718,11.2778022644675,0,0,0,1,0,27000,85000,0,0,0,0,0,1,1
"44","klaus",115,6.31761876446749,426.347397061017,554.251616179322,0.69314718,11.2778022644675,0,0,0,1,0,85000,125000,0,0,0,0,0,1,1
"45","klaus",116,7.82365026446749,1922.31602290091,2499.01082977118,3.1354942,11.1847642644675,0,1,1,0,0,2131000,2382000,0,1,0,1,0,1,0
"46","klaus",116,7.16805496446749,997.9375507951,1297.31881603363,3.1354942,11.1847642644675,0,1,1,0,0,2131000,2382000,0,1,1,0,0,1,0
"47","klaus",117,4.11561886446749,47.1462560105585,61.2901328137261,2.0794415,11.0255552644675,0,0,0,0,0,34000,50000,0,0,0,0,0,1,1
"48","klaus",117,3.99613966446749,41.8367608827685,54.387789147599,2.0794415,11.0255552644675,0,0,0,0,0,34000,75000,0,0,0,0,0,1,1
"49","klaus",117,4.11954726446749,47.3318296277165,61.5313785160315,2.0794415,11.0255552644675,0,0,0,0,0,34000,1e+05,0,0,0,0,0,1,1
"50","klaus",119,4.54932776446749,72.745241865353,94.568814424959,2.8332133,11.2507522644675,1,0,0,1,0,9000,10125,1,1,0,0,1,1,1
"51","klaus",120,3.19428596446749,18.7636539862823,24.3927501821671,0,11.2019552644675,0,1,1,1,1,36000,41000,1,0,0,0,1,1,1
"52","klaus",122,4.94749106446749,108.324006921469,140.821208997909,1.6094379,11.3293152644675,1,0,0,0,0,212378,212708,0,0,0,0,0,1,1
"53","klaus",124,5.36803806446749,164.955179894906,214.441733863378,3.2958369,11.6779562644675,0,0,1,1,0,23860,24860,0,0,1,1,0,1,0
"54","klaus",124,5.45312586446749,179.605288243943,233.486874717126,3.2958369,11.6779562644675,0,0,1,1,0,23860,26860,0,0,1,1,0,1,0
"55","klaus",124,5.53387056446749,194.709031879456,253.121741443292,3.2958369,11.6779562644675,0,0,1,1,0,23860,28860,0,0,1,1,0,1,0
"56","klaus",125,3.84810296446749,36.0800001733852,46.9040002254008,1.3862944,11.3359932644675,0,1,1,1,1,6000,8500,1,1,0,1,0,1,1
"57","klaus",125,3.56888446446749,27.2899963234847,35.4769952205301,1.3862944,11.3043262644675,0,1,1,1,1,6000,8500,1,1,0,1,0,1,1
"58","klaus",125,3.75340236446749,32.820000470575,42.6660006117475,1.3862944,11.3502802644675,0,1,1,1,1,6000,8500,1,1,0,1,0,1,1
"59","klaus",129,2.47886671246749,9.17518399783963,11.9277391971915,7.607381426,11.6295495944675,1,1,1,1,1,4000,4200,0,0,1,1,0,1,1
"60","klaus",130,0.399425171467491,1.14689800050966,1.49096740066255,7.607381426,11.6295495944675,1,1,1,1,1,4000,4047,0,0,1,0,0,1,1
