phjv_fit,phjv_wtp,phjv_loc,phjv_hhsz,outsidephjv_hhsz,acre_change,province
2.352676064742464,10.513667366959407,Allan Hills,70,1070395,2394,0
2.417658777915308,11.219561057735147,Boundary Plateau,90,1070340,2701,0
2.763511293029184,15.855418340310273,Cactus Lake,95,1070318,5591,0
2.5101841426445506,12.307196131506513,Conjuring Creek,130,1070235,3298,0
2.7946328611686613,16.35662249939111,Coteau Central,185,1070085,5904,0
1.955751921529369,7.069232533917867,Coteau North,185,1070085,1021,0
2.958896403208349,19.276686323215745,Coteau South,185,1070085,8367,0
2.9709976187940295,19.511374804178917,Dana Hills,155,1070264,8648,0
1.9017411953345351,6.6975460313919255,Fox Valley,70,1070375,928,0
1.990242826749721,7.317310385292605,Hillmond,740,1068410,1095,0
2.866494449161532,17.575298979036944,Lenore/Ponass,215,1069975,6943,0
3.2705003554770715,26.324507660160393,Lightning,185,1070227,16206,0
2.508746316698246,12.289513241088086,Pheasant Hills,185,1070227,3309,0
2.327443864783669,10.251703273295673,Prince Albert,1055,1067785,2244,0
2.7122086798652627,15.062507058505888,Quill South,325,1070235,5008,0
2.67912913977781,14.57239724733669,Regina East,310,1070090,4710,0
3.1606409817805683,23.585709094730266,Touchwood/Beaver,130,1070220,12901,0
2.5235165313280343,12.472379149231912,Thickwood,185,1070228,3343,0
2.723850167323629,15.238881685105676,Tramping Lake East,80,1070375,5100,0
3.068612371598069,21.512031249031644,Upper Assiniboine,460,1070227,10624,0
2.3263511746830967,10.240507456507984,Virden,185,1070227,2239,0
2.7557478858111213,15.732802843977082,Saskatchewan,432625,427400,112574,sk
1.8800421759340913,6.553781268209083,Alberta,1527675,1523265,28252,ab
1.409644102603481,4.09449792357875,Manitoba,489050,484237,11734,ma
