PHJV Target Landscape,Estimated Historical Wetland Area,Estimated Wetland Area Loss 2001-2011,Estimated Remaining Wetland Area,Location,,rm,rm pop,,
Allan Hills,48826,2394,46432,S,,313,242,PHJV Target Estimated Historical Estimated Wetland Estimated Remaining,
Boundary Plateau,76681,2701,73980,S,,frontier 19,326,Landscape Wetland Area Area Loss 2001-2011 Wetland Area,
Cactus Lake,143186,5591,137595,S,5,352,244,"Cactus Lake, Saskatchewan, Canada - Population, houses and dwellings counts - Population, Age characteristics, Dwellings, Houses, Language, Education, Work, Industry, Earnings, Income, Immigration, Citizenship, Labor (city-data.com)",
Conjuring Creek,81565,3298,78267,S,,305,325,,
Coteau Central,190436,5904,184532,S,,255,475,,
Coteau North,34124,1021,33103,S,,255,475,,
Coteau South,240073,8367,231706,S,,255,475,,
Dana Hills,209561,8648,200913,S,,37,467,,
Fox Valley,21228,928,20300,S,241,171,330,,
Hillmond,38324,1095,37229,S,,502,2153,,
Lenore/Ponass,172663,6943,165720,S,,399,587,,
Lightning,375054,16206,358848,S,,,,,
Pheasant Hills,71270,3309,67961,S,,,365,Rural Municipality of McLeod No. 185,
Prince Albert,59432,2244,57188,S,,461,35926,,
Quill South,136640,5008,131632,S,,338,415,,
Regina East,108427,4710,103717,S,,159,974,,
Thickwood,112990,3343,109647,S,,,,,
Touchwood/Beaver,288800,12901,275899,S,,248,343,,
Tramping Lake East,159056,5100,153956,S,60,380,375,,
Upper Assiniboine,247648,10624,237024,S,,,,,
Virden Sask,59231,2239,56992,S,,,,,
Arrowwood,38180,1002,37178,A,207,,,vilcan county,PHJV Target Estimated Historical Estimated Wetland Estimated Remaining
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ju,66295,2008,64287,A,,,,,Landscape Wetland Area Area Loss 2001-2011 Wetland Area
Bellshill ,77693,2604,75089,A,,,,,
Big Hay/Bittern,115057,1754,113303,A,,,,,
Buffalo Lake ,90307,1116,89191,A,,,,,
Calgary East ,27894,550,27344,A,,,,,
Calgary West,38587,1347,37240,A,,,,,
Clear Lake ,15015,660,14355,A,,,,,
Cypress,3114,9,3105,A,,,,,
Derwent,26325,868,25457,A,,,,,
Eastern Plains,238973,3581,235392,A,,,,,
Eastern Irrigation District,52445,245,52200,A,,,,,
Jenner Plains,18307,112,18195,A,,,,,
Kenilworth,38938,1104,37834,A,,,,,
Milk River Ridge,24780,362,24418,A,,,,,
Owlseye,21811,56,21755,A,,,,,
Pakowki,37516,1126,36390,A,,,,,
Pine Lake,18399,341,18058,A,,,,,
Sullivan Lake,132010,1831,130179,A,,,,,
Vermillion/Viking,118704,3244,115460,A,,,,,
Wintering Hills,76063,1728,74335,A,,,,,
Minnedosa/Shoal,188405,6139,182266,M,,,,,
Alexander/Griswold,6864,256,6608,M,,,,,
Virden,69984,2402,67582,M,3114,,,,
Killarney,86237,2937,83300,M,,,,,
