q1,q0,,,,
48826,46432,,,,
76681,73980,,,,
143186,137595,,,,
81565,78267,,,,
190436,184532,,,,
34124,33103,,,,
240073,231706,,,,
209561,200913,,,,
21228,20300,,,,  
38324,37229,,,,
172663,165720,,,,
375054,358848,,,,
71270,67961,,,,
59432,57188,,,,
136640,131632,,,,
108427,103717,,,,
112990,109647,,,,
288800,275899,,,,
159056,153956,,,,
247648,237024,,,,
59231,56992,,,,
38180,37178,,,,
66295,64287,,,,
77693,75089,,,,
115057,113303,,,,
90307,89191,,,,
27894,27344,,,,
38587,37240,,,,
15015,14355,,,,
3114,3105,,,,
26325,25457,,,,
238973,235392,,,,
52445,52200,,,,
18307,18195,,,,
38938,37834,,,,
24780,24418,,,,
21811,21755,,,,
37516,36390,,,,
18399,18058,,,,
132010,130179,,,,
118704,115460,,,,
76063,74335,,,,
188405,182266,,,,
6864,6608,,,,
69984,67582,,,,
86237,83300,,,,
