PHJV Target Landscape,q0,q1,rm,num_hhphvjmedianimput,av_hhszphvj,num_hhcan,hhsz_can,hhoutsidephjv
Allan Hills,48826,46432,313,70,2.4,432620,2.5,1070395
Boundary Plateau,76681,73980,frontier 19,90,2.3,432620,2.5,1070340
Cactus Lake,143186,137595,352,95,2.7,432620,2.5,1070318
Conjuring Creek,81565,78267,305,130,2.5,432620,2.5,1070235
Coteau Central,190436,184532,255,185,2.6,432620,2.5,1070085
Coteau North,34124,33103,255,185,2.6,432620,2.5,1070085
Coteau South,240073,231706,255,185,2.6,432620,2.5,1070085
Dana Hills,209561,200913,37,155,2.7,432620,2.5,1070264
Fox Valley,21228,20300,171,70,2.6,432620,2.5,1070375
Hillmond,38324,37229,502,740,2.5,432620,2.5,1068410
Lenore/Ponass,172663,165720,399,215,2.7,432620,2.5,1069975
Lightning,375054,358848,NA,185,,432620,2.5,1070227
Pheasant Hills,71270,67961,NA,185,,432620,2.5,1070227
Prince Albert,59432,57188,461,1055,2.6,432620,2.5,1067785
Quill South,136640,131632,338,325,2.3,432620,2.5,1070235
Regina East,108427,103717,159,310,3.7,432620,2.5,1070090
Touchwood/Beaver,288800,275899,248,130,2.6,432620,2.5,1070220
Thickwood,112990,109647,NA,185,,432620,2.5,1070228
Tramping Lake East,159056,153956,380,80,2.2,432620,2.5,1070375
Upper Assiniboine,247648,237024,181 & 211,460,2.6,432620,2.5,1070227
Virden,59231,56992,NA,185,,432620,2.5,1070227
Sask. Province,2875215,2762641,,5220,2.6,432620,2.5,427400
Alberta Province,"1,354,106",1325854,,4410,2.6,1527675,2.5,1523265
Manitoba ,351490,339756,,4813,2.6,489050,2.5,484237
