studyid,PHJV Target Landscape,q1,q0,lnyear,lninc,local,prov,reg,cult,forest,volump,lumpsum,ce,nrev
133,Allan Hills,48826,46432,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Boundary Plateau,76681,73980,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Cactus Lake,143186,137595,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Conjuring Creek,81565,78267,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Coteau Central,190436,184532,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Coteau North,34124,33103,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Coteau South,240073,231706,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Dana Hills,209561,200913,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Fox Valley,21228,20300,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Hillmond,38324,37229,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Lenore/Ponass,172663,165720,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Lightning,375054,358848,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Pheasant Hills,71270,67961,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Prince Albert,59432,57188,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Quill South,136640,131632,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Regina East,108427,103717,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Thickwood,112990,109647,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Touchwood/Beaver,288800,275899,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Tramping Lake East,159056,153956,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Upper Assiniboine,247648,237024,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
133,Virden Sask,59231,56992,4.433987204,4.862864985,1,1,1,0,0,0,0,1,1
134,Arrowwood,38180,37178,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Beaverhill,66295,64287,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Bellshill ,77693,75089,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Big Hay/Bittern,115057,113303,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Buffalo Lake ,90307,89191,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Calgary East ,27894,27344,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Calgary West,38587,37240,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Clear Lake ,15015,14355,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Cypress,3114,3105,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Derwent,26325,25457,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Eastern Plains,238973,235392,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Eastern Irrigation District,52445,52200,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Jenner Plains,18307,18195,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Kenilworth,38938,37834,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Milk River Ridge,24780,24418,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Owlseye,21811,21755,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Pakowki,37516,36390,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Pine Lake,18399,18058,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Sullivan Lake,132010,130179,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Vermillion/Viking,118704,115460,4.433987204,4.932941839,1,1,1,0,0,0,0,1,1
134,Wintering Hills,76063,74335,4.433987204,4.839332984,1,1,1,0,0,0,0,1,1
135,Minnedosa/Shoal,188405,182266,4.433987204,4.839332984,1,1,1,0,0,0,0,1,1
135,Alexander/Griswold,6864,6608,4.433987204,4.839332984,1,1,1,0,0,0,0,1,1
135,Virden,69984,67582,4.433987204,4.839332984,1,1,1,0,0,0,0,1,1
135,Killarney,86237,83300,4.433987204,4.839332984,1,1,1,0,0,0,0,1,1
