PHJV Target Landscape,q0,q1,rm,rm pop,lumpsum,local,forest,us,volunt,nrev,lninc,prov,reg,cult,ce,lnyear,lnq0,lnq_change
Allan Hills,48826,46432,313,242,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,10.796018236845944,7.780720886117918
Boundary Plateau,76681,73980,frontier 19,326,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,11.247409238284769,7.901377353792616
Cactus Lake,143186,137595,352,244,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,11.871899763366208,8.628913441026645
Conjuring Creek,81565,78267,305,325,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,11.309155527370404,8.101071503119543
Coteau Central,190436,184532,255,475,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,12.15707145909711,8.683385366280309
Coteau North,34124,33103,255,475,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,10.437756228028585,6.928537818164665
Coteau South,240073,231706,255,475,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,12.388698322741492,9.032050676295599
Dana Hills,209561,200913,37,467,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,12.252770145413805,9.065083359319043
Fox Valley,21228,20300,171,330,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,9.963076343947785,6.833031732786201
Hillmond,38324,37229,502,2153,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,10.553831610770764,6.9985096422506015
Lenore/Ponass,172663,165720,399,587,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,12.059096996826797,8.845489236753274
Lightning,375054,358848,NA,NA,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,12.834825294585544,9.693136823020671
Pheasant Hills,71270,67961,NA,365,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,11.174230760495917,8.104401307921613
Prince Albert,59432,57188,461,35926,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,10.992588080831641,7.716015266642587
Quill South,136640,131632,338,415,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,11.825105009022396,8.518791912779934
Regina East,108427,103717,159,974,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,11.59383241446381,8.457443187010464
Thickwood,112990,109647,NA,NA,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,11.635054598203292,8.114623886420098
Touchwood/Beaver,288800,275899,248,343,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,12.573489686000809,9.465060106725137
Tramping Lake East,159056,153956,380,375,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,11.977011620451927,8.536995818712418
Upper Assiniboine,247648,237024,NA,NA,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,12.419763662070185,9.270870871716214
Virden Sask,59231,56992,NA,NA,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,10.989200332464636,7.713784616598755
Arrowwood,38180,37178,NA,NA,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,10.550067097279738,6.90975328164481
NA,NA,NA,NA,NA,0,1,1,0,1,1,11.217673707787961,1,1,0,1,3.295836866004329,NA,NA
