PHJV Target Landscape,q0,q1,rm,num_hhphvjmeanimput,num_hhphvjmedianimput,av_hhszphvj,num_hhcan,hhsz_can,hhoutsidephjv,phjvloc,numhh_phjv,numhh_outsidephjv,avhhsize,lumpsum,local,forest,us,volunt,nrev,lninc,prov,reg,cult,ce,lnyear,lnq0,lnq_change,studyid
Allan Hills,48826,46432,313,165,165,2.4,1070560,2.5,1070395,Allan Hills,165,1070395,2.4,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,10.796018236845944,7.780720886117918,130
Boundary Plateau,76681,73980,frontier 19,220,220,2.3,1070560,2.5,1070340,Boundary Plateau,220,1070340,2.3,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,11.247409238284769,7.901377353792616,130
Cactus Lake,143186,137595,352,242,242,2.7,1070560,2.5,1070318,Cactus Lake,242,1070318,2.7,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,11.871899763366208,8.628913441026645,130
Conjuring Creek,81565,78267,305,325,325,2.5,1070560,2.5,1070235,Conjuring Creek,325,1070235,2.5,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,11.309155527370404,8.101071503119543,130
Coteau Central,190436,184532,255,475,475,2.6,1070560,2.5,1070085,Coteau Central,475,1070085,2.6,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,12.15707145909711,8.683385366280309,130
Coteau North,34124,33103,255,475,475,2.6,1070560,2.5,1070085,Coteau North,475,1070085,2.6,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,10.437756228028585,6.928537818164665,130
Coteau South,240073,231706,255,475,475,2.6,1070560,2.5,1070085,Coteau South,475,1070085,2.6,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,12.388698322741492,9.032050676295599,130
Dana Hills,209561,200913,37,296,296,2.7,1070560,2.5,1070264,Dana Hills,296,1070264,2.7,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,12.252770145413805,9.065083359319043,130
Fox Valley,21228,20300,171,185,185,2.6,1070560,2.5,1070375,Fox Valley,185,1070375,2.6,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,9.963076343947785,6.833031732786201,130
Hillmond,38324,37229,502,2150,2150,2.5,1070560,2.5,1068410,Hillmond,2150,1068410,2.5,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,10.553831610770764,6.9985096422506015,130
Lenore/Ponass,172663,165720,399,585,585,2.7,1070560,2.5,1069975,Lenore/Ponass,585,1069975,2.7,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,12.059096996826797,8.845489236753274,130
Lightning,375054,358848,NA,605,333,NA,1070560,2.5,1070227,Lightning,333,1070227,NA,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,12.834825294585544,9.693136823020671,130
Pheasant Hills,71270,67961,NA,605,333,NA,1070560,2.5,1070227,Pheasant Hills,333,1070227,NA,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,11.174230760495917,8.104401307921613,130
Prince Albert,59432,57188,461,2775,2775,2.6,1070560,2.5,1067785,Prince Albert,2775,1067785,2.6,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,10.992588080831641,7.716015266642587,130
Quill South,136640,131632,338,325,325,2.3,1070560,2.5,1070235,Quill South,325,1070235,2.3,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,11.825105009022396,8.518791912779934,130
Regina East,108427,103717,159,470,470,3.7,1070560,2.5,1070090,Regina East,470,1070090,3.7,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,11.59383241446381,8.457443187010464,130
Thickwood,112990,109647,NA,605,332,NA,1070560,2.5,1070228,Thickwood,332,1070228,NA,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,11.635054598203292,8.114623886420098,130
Touchwood/Beaver,288800,275899,248,340,340,2.6,1070560,2.5,1070220,Touchwood/Beaver,340,1070220,2.6,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,12.573489686000809,9.465060106725137,130
Tramping Lake East,159056,153956,380,185,185,2.2,1070560,2.5,1070375,Tramping Lake East,185,1070375,2.2,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,11.977011620451927,8.536995818712418,130
Upper Assiniboine,247648,237024,NA,605,333,NA,1070560,2.5,1070227,Upper Assiniboine,333,1070227,NA,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,12.419763662070185,9.270870871716214,130
Virden Sask,59231,56992,NA,605,333,NA,1070560,2.5,1070227,Virden Sask,333,1070227,NA,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,10.989200332464636,7.713784616598755,130
Arrowwood,38180,37178,NA,605,333,NA,1070560,2.5,1070227,Arrowwood,333,1070227,NA,0,1,1,0,1,1,11.180082579895995,1,1,0,1,3.295836866004329,10.550067097279738,6.90975328164481,130
