us,variable,mean,sd,min,med,max,n.valid,pct.valid
0,ce,0.17647058823529413,0.3929526239966879,0,0,1,17,100
0,cult,0.17647058823529413,0.3929526239966879,0,0,1,17,100
0,forest,0.4117647058823529,0.5072996561958923,0,0,1,17,100
0,lninc,11.42905740929347,0.07553952452550164,11.3217649595091,11.4658338574364,11.5079129231467,17,100
0,lnq_change,11.238076882118374,2.696021306337432,8.006367567650246,11.573578321682172,18.423633517223394,17,100
0,lnq0,9.959182587424348,6.062580437903708,0,13.76335900063759,17.205061947552007,17,100
0,lnwtp,5.001836932919022,1.4784052875983045,2.53549295719893,5.84306353494352,6.76984735956962,17,100
0,lnyear,3.861693758104727,0.18810948280113413,3.30258509299405,3.83321334405622,4.13549421592915,17,100
0,local,0.5294117647058824,0.5144957554275266,0,1,1,17,100
0,lumpsum,0,0,0,0,0,17,100
0,nrev,0.17647058823529413,0.3929526239966879,0,0,1,17,100
0,prov,0.47058823529411764,0.5144957554275266,0,0,1,17,100
0,reg,0.7647058823529411,0.4372373160976031,0,1,1,17,100
0,volunt,0.11764705882352941,0.3321055820775357,0,0,1,17,100
0,wtp_2017,294.4531033641039,246.53896429251336,12.6226517416394,344.834135563509,871.178906718157,17,100
1,ce,0.21739130434782608,0.42174116783664994,0,0,1,23,100
1,cult,0.6956521739130435,0.47047196889696474,0,1,1,23,100
1,forest,0.5217391304347826,0.5107539184552492,0,1,1,23,100
1,lninc,11.732202184317883,0.2856161487779122,11.2424400127469,11.7978944644675,12.2938995444675,23,100
1,lnq_change,7.284228973637296,2.250043841624525,3.367295829986474,7.025538314638521,11.097410021008562,23,100
1,lnq0,9.175083316203644,2.4306407388319533,0,9.105090961257085,12.300887248010884,23,100
1,lnwtp,4.032657380977975,1.355050978434709,1.22098468046749,4.15496052646749,6.64971174846749,23,100
1,lnyear,1.713085754908247,0.9294521392780668,0,1.792,3.25809653802148,23,100
1,local,0.391304347826087,0.4990108793478454,0,0,1,23,100
1,lumpsum,0.391304347826087,0.4990108793478454,0,0,1,23,100
1,nrev,0.2608695652173913,0.4489777585448796,0,0,1,23,100
1,prov,0.30434782608695654,0.47047196889696474,0,0,1,23,100
1,reg,0.5217391304347826,0.5107539184552492,0,1,1,23,100
1,volunt,0.391304347826087,0.4990108793478454,0,0,1,23,100
1,wtp_2017,125.81468687795018,181.2263678748406,3.39052467386267,63.7494480822351,772.561601370849,23,100
