variable,mean,sd,min,med,max,n.valid,pct.valid
ce,0.23255813953488372,0.4274625743754585,0,0,1,43,100
cult,0.5116279069767442,0.5057805388588732,0,1,1,43,100
forest,0.5116279069767442,0.5057805388588732,0,1,1,43,100
lninc,11.229548570015437,0.24572760577485636,10.7028215959293,11.2556856648917,11.7464742644675,43,100
lnq_change,8.89887111440442,3.2174602273663817,3.367295829986474,8.616676469901188,17.94701120345744,43,100
lnq0,9.22968353097354,4.416931861033318,0,9.392495248213038,17.541546119437417,43,100
lnwtp,4.098950546733847,1.5398355896611686,0.39942517146748907,4.115618864467492,6.728628613084702,43,100
lnyear,2.483572325275378,1.4546900163671566,0,2.8332133,7.607381426,43,100
local,0.46511627906976744,0.5046845884077512,0,0,1,43,100
lumpsum,0.23255813953488372,0.4274625743754585,0,0,1,43,100
nrev,0.5348837209302325,0.5046845884077512,0,1,1,43,100
prov,0.3953488372093023,0.49471179121551506,0,0,1,43,100
q0,1202974.0232558139,6307950.008256243,0,11997,41514200,43,100
q1,2751579.1860465114,15785448.032316275,1408,18520,103785500,43,100
reg,0.627906976744186,0.4890834875635335,0,1,1,43,100
us,0.5813953488372093,0.49916874422979135,0,1,1,43,100
volunt,0.27906976744186046,0.45385026875081025,0,0,1,43,100
wtp_original,154.2074709214013,193.83135902542853,1.49096740066255,61.2901328137261,836,43,100
